id,fecha,franja_hora,gravedad,sexo,edad,vehiculo_1,vehiculo_2,direccion_normalizada,tipo_calle,comuna,latitud,longitud
LC-2020-0495509,2020-08-26,20,LEVE - SIN LESIONES,F,24,AUTOMOVIL,SD,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA,AUTOPISTA,8,-34.668746799113,-58.474610766483
LC-2020-0495574,2020-08-26,22,LEVE - SIN LESIONES,F,33,MOTO,AUTOMOVIL,OLAZABAL AV. y DONADO,AVENIDA,12,-34.571097378392,-58.476553593380
LC-2020-0494711,2020-08-26,11,LEVE - SIN LESIONES,M,20,AUTOMOVIL,AUTOMOVIL,"HOLMBERG y SUCRE, ANTONIO JOSE DE, MCAL.",SD,SD,SD,SD
LC-2020-0495690,2020-08-27,2,LEVE - SIN LESIONES,M,55,AUTOMOVIL,TRANSPORTE PUBLICO,CASTRO BARROS y AGRELO,CALLE,5,-34.618771415225,-58.419630919351
LC-2020-0495953,2020-08-27,8,LEVE - SIN LESIONES,F,38,SD,SD,"FERNANDEZ MORENO, BALDOMERO y PEDERNERA",CALLE,7,-34.637969076936,-58.458845475523
LC-2020-0495953,2020-08-27,8,LEVE - SIN LESIONES,M,32,SD,SD,"FERNANDEZ MORENO, BALDOMERO y PEDERNERA",CALLE,7,-34.637969076936,-58.458845475523
LC-2020-0496404,2020-08-27,14,LEVE - SIN LESIONES,M,32,MOTO,SD,BOEDO AV. 944,AVENIDA,5,-34.624736558984,-58.415936104670
LC-2020-0496422,2020-08-27,14,LEVE - SIN LESIONES,F,47,PEATON,SD,"LINIERS VIRREY y CALVO, CARLOS",CALLE,5,-34.623333159239,-58.413732206903
LC-2020-0496535,2020-08-27,15,LEVE - SIN LESIONES,M,32,MOTO,TRANSPORTE PUBLICO,SALTA 2146,CALLE,4,-34.632413379389,-58.382372118798
LC-2020-0496601,2020-08-27,13,LEVE - SIN LESIONES,M,50,MOTO,AUTOMOVIL,RIVADAVIA AV. 5894,AVENIDA,6,-34.623620257949,-58.448374579037
LC-2020-0496654,2020-08-27,14,LEVE - SIN LESIONES,M,31,PEATON,AUTOMOVIL,GUZMAN AV. 680,AVENIDA,15,-34.58749202026,-58.455546931456
LC-2020-0496716,2020-08-27,17,LEVE - SIN LESIONES,M,35,MOTO,SD,YATAY y ROCAMORA,CALLE,5,-34.599065350307,-58.428081642571
LC-2020-0496758,2020-08-27,16,LEVE - SIN LESIONES,F,70,PEATON,SD,CASEROS AV. 3347,AVENIDA,5,-34.638107738565,-58.412411787161
LC-2020-0496791,2020-08-27,17,LEVE - SIN LESIONES,M,33,MOTO,AUTOMOVIL,LARRAZABAL y BRAGADO,CALLE,9,-34.652154277347,-58.501269813766
LC-2020-0496953,2020-08-27,20,LEVE - SIN LESIONES,M,29,MOTO,AUTOMOVIL,27 DE FEBRERO AV. y ESCALADA AV.,AVENIDA,8,-34.684758668861,-58.444513161835
LC-2020-0496959,2020-08-27,19,LEVE - SIN LESIONES,M,24,MOTO,AUTOMOVIL,"ALBERDI, JUAN BAUTISTA AV. 5775",AVENIDA,9,-34.650991905186,-58.502132593183
LC-2020-0496959,2020-08-27,19,LEVE - SIN LESIONES,F,30,MOTO,AUTOMOVIL,"ALBERDI, JUAN BAUTISTA AV. 5775",AVENIDA,9,-34.650991905186,-58.502132593183
LC-2020-0496968,2020-08-27,20,LEVE - SIN LESIONES,M,54,PEATON,SD,"TILCARA AV. y MORENO, PERITO AV.",AVENIDA,4,-34.649911789274,-58.421026791390
LC-2020-0497002,2020-08-27,20,LEVE - SIN LESIONES,F,49,MOTO,AUTOMOVIL,"CURAPALIGUE y BONIFACIO, JOSE",CALLE,7,-34.629518489587,-58.452103522017
LC-2020-0497014,2020-08-27,21,LEVE - SIN LESIONES,M,42,PEATON,AUTOMOVIL,CORRIENTES AV. 4576,AVENIDA,5,-34.602477140773,-58.429783087164
LC-2020-0497160,2020-08-28,23,LEVE - SIN LESIONES,M,40,AUTOMOVIL,AUTOMOVIL,TUCUMAN y LARREA,CALLE,3,-34.60209009422,-58.402306502718
LC-2020-0497231,2020-08-28,0,LEVE - SIN LESIONES,M,32,MOTO,AUTOMOVIL,BELGRANO y YAPEYU,CALLE,5,-34.615794808047,-58.421585078020
LC-2020-0497281,2020-08-28,5,LEVE - SIN LESIONES,M,18,AUTOMOVIL,SD,PERU 1319,CALLE,1,-34.623507468609,-58.374319786450
LC-2020-0497283,2020-08-28,5,LEVE - SIN LESIONES,M,41,MOTO,AUTOMOVIL,"ALBERDI, JUAN BAUTISTA AV. y MITRE, EMILIO",AVENIDA,6,-34.623017484082,-58.443621269113
LC-2020-0497426,2020-08-28,8,LEVE - SIN LESIONES,M,34,AUTOMOVIL,SD,"PUAN y GOYENA, PEDRO AV.",CALLE,6,-34.627473037426,-58.447032953717
LC-2020-0497426,2020-08-28,8,LEVE - SIN LESIONES,F,34,AUTOMOVIL,SD,"PUAN y GOYENA, PEDRO AV.",CALLE,6,-34.627473037426,-58.447032953717
LC-2020-0497426,2020-08-28,8,LEVE - SIN LESIONES,F,41,AUTOMOVIL,SD,"PUAN y GOYENA, PEDRO AV.",CALLE,6,-34.627473037426,-58.447032953717
LC-2020-0497593,2020-08-28,12,LEVE - SIN LESIONES,F,32,AUTOMOVIL,AUTOMOVIL,USPALLATA 2130,CALLE,4,-34.637050983985,-58.391687082144
LC-2020-0497593,2020-08-28,12,LEVE - SIN LESIONES,F,36,AUTOMOVIL,AUTOMOVIL,USPALLATA 2130,CALLE,4,-34.637050983985,-58.391687082144
LC-2020-0497593,2020-08-28,12,LEVE - SIN LESIONES,F,41,AUTOMOVIL,AUTOMOVIL,USPALLATA 2130,CALLE,4,-34.637050983985,-58.391687082144
LC-2020-0497773,2020-08-28,13,LEVE - SIN LESIONES,M,27,MOTO,AUTOMOVIL,ARTIGAS MANUEL DE y ALBARIÃ‘O,CALLE,9,-34.647498925856,-58.500240701513
LC-2020-0497873,2020-08-28,13,LEVE - SIN LESIONES,M,37,MOTO,SD,"IRIGOYEN, BERNARDO DE 1312",CALLE,1,-34.623875608419,-58.379523499857
LC-2020-0497887,2020-08-28,14,LEVE - SIN LESIONES,M,47,AUTOMOVIL,TRANSPORTE PUBLICO,"VIALE, LUIS y NAZCA AV.",CALLE,11,-34.619459029312,-58.475015602475
LC-2020-0497902,2020-08-28,14,LEVE - SIN LESIONES,M,36,MOTO,SD,DIRECTORIO AV. y AZUL,AVENIDA,10,-34.637307176952,-58.473491958855
LC-2020-0497965,2020-08-28,14,LEVE - SIN LESIONES,M,33,TRANSPORTE PUBLICO,TRANSPORTE PUBLICO,DEL CAMPO AV. y ESTOMBA,AVENIDA,15,-34.588736456436,-58.469211844943
LC-2020-0498221,2020-08-28,15,LEVE - SIN LESIONES,M,26,MOTO,AUTOMOVIL,TUCUMAN 2263,CALLE,3,-34.602035756029,-58.39926717453
LC-2020-0498325,2020-08-28,16,LEVE - SIN LESIONES,M,24,MOTO,TRANSPORTE PUBLICO,DIRECTORIO AV. 1774,AVENIDA,7,-34.631168153030,-58.452695797309
LC-2020-0498336,2020-08-28,17,LEVE - SIN LESIONES,M,48,MOTO,AUTOMOVIL,"PERON, EVA AV. y GUARDIA NACIONAL",AVENIDA,9,-34.658396247978,-58.479632059183
LC-2020-0498365,2020-08-28,17,LEVE - SIN LESIONES,F,40,MOTO,AUTOMOVIL,"ALEM, LEANDRO N. AV. y SAN MARTIN",AVENIDA,1,-34.593567768001,-58.373842227962
LC-2020-0498394,2020-08-28,16,LEVE - SIN LESIONES,F,19,MOTO,AUTOMOVIL,CALLAO AV. y CORDOBA AV.,AVENIDA,2,-34.599636420664,-58.392934176571
LC-2020-0498512,2020-08-28,22,GRAVE,F,43,AUTOMOVIL,SD,"PAZ, GRAL. AV. y DE LOS CONSTITUYENTES AV.",GRAL PAZ,12,-34.56919739421,-58.509930461176
LC-2020-0498512,2020-08-28,22,GRAVE,M,38,AUTOMOVIL,SD,"PAZ, GRAL. AV. y DE LOS CONSTITUYENTES AV.",GRAL PAZ,12,-34.56919739421,-58.509930461176
LC-2020-0497249,2020-08-28,4,GRAVE,F,22,AUTOMOVIL,OTRO,SD,SD,SD,SD,SD
LC-2020-0497695,2020-08-28,10,LEVE - SIN LESIONES,M,37,MOTO,AUTOMOVIL,SD,SD,SD,SD,SD
LC-2020-0497937,2020-08-28,15,LEVE - SIN LESIONES,M,73,MOTO,AUTOMOVIL,"SANTA FE AV. y BULLRICH, INT. AV.",SD,SD,SD,SD
LC-2020-0498592,2020-08-29,20,LEVE - SIN LESIONES,M,24,MOTO,AUTOMOVIL,CORRIENTES AV. y AYACUCHO,AVENIDA,3,-34.604496069480,-58.395291650992
LC-2020-0498979,2020-08-29,12,LEVE - SIN LESIONES,F,34,AUTOMOVIL,SD,AVELLANEDA AV. 1548,AVENIDA,6,-34.620381370537,-58.453221697430
LC-2020-0498979,2020-08-29,12,LEVE - SIN LESIONES,F,28,AUTOMOVIL,SD,AVELLANEDA AV. 1548,AVENIDA,6,-34.620381370537,-58.453221697430
LC-2020-0499275,2020-08-29,15,LEVE - SIN LESIONES,M,23,MOTO,AUTOMOVIL,"BELGRANO AV. e IRIGOYEN, BERNARDO DE",AVENIDA,1,-34.613038937486,-58.380485777658
LC-2020-0499328,2020-08-29,18,LEVE - SIN LESIONES,M,25,MOTO,SD,"VARELA AV. y ALVAREZ, CRISOSTOMO",AVENIDA,7,-34.643345361540,-58.454421648861
LC-2020-0499369,2020-08-29,18,LEVE - SIN LESIONES,F,65,AUTOMOVIL,SD,"BONIFACIO, JOSE 1300",CALLE,6,-34.628534097474,-58.444930148414
LC-2020-0499483,2020-08-29,22,GRAVE,M,57,MOTO,AUTOMOVIL,"ALBERDI, JUAN BAUTISTA AV. y RIVERA INDARTE AV.",AVENIDA,7,-34.631260913232,-58.461737407610
LC-2020-0499526,2020-08-30,22,GRAVE,M,35,SD,SD,"ALCORTA, AMANCIO AV. y MAGNAUD, JUEZ",AVENIDA,4,-34.651231956735,-58.406809788302
LC-2020-0499601,2020-08-30,21,LEVE - SIN LESIONES,F,40,PEATON,MOTO,"YRIGOYEN, HIPOLITO 1400",CALLE,1,-34.610134373661,-58.386167664798
LC-2020-0499636,2020-08-30,19,LEVE - SIN LESIONES,F,41,PEATON,AUTOMOVIL,"GOYENA, PEDRO AV. y ACHAVAL",AVENIDA,6,-34.627945790176,-58.449313143620
LC-2020-0499764,2020-08-30,7,LEVE - SIN LESIONES,M,32,AUTOMOVIL,SD,"MADARIAGA y PAZ, GRAL. AV.",CALLE,8,-34.696107117837,-58.473746714953
LC-2020-0499764,2020-08-30,7,LEVE - SIN LESIONES,F,45,AUTOMOVIL,SD,"MADARIAGA y PAZ, GRAL. AV.",CALLE,8,-34.696107117837,-58.473746714953
LC-2020-0499878,2020-08-30,10,LEVE - SIN LESIONES,F,48,PEATON,AUTOMOVIL,"PERETTE, CARLOS H. y WALSH, RODOLFO",CALLE,1,-34.584277499024,-58.375527790031
LC-2020-0499880,2020-08-30,12,LEVE - SIN LESIONES,F,55,AUTOMOVIL,AUTOMOVIL,9 DE JULIO AV. e INDEPENDENCIA AV.,AVENIDA,1,-34.617653238781,-58.381136675759
LC-2020-0499884,2020-08-30,12,LEVE - SIN LESIONES,M,62,MOTO,AUTOMOVIL,"MADERO, EDUARDO AV. 700",AVENIDA,1,-34.599443318809,-58.369270124708
LC-2020-0499993,2020-08-30,15,LEVE - SIN LESIONES,F,38,AUTOMOVIL,AUTOMOVIL,GUEVARA y 14 DE JULIO,CALLE,15,-34.584001085952,-58.462006765501
LC-2020-0500021,2020-08-30,17,GRAVE,M,42,BICICLETA,BICICLETA,USPALLATA y COLONIA AV.,AVENIDA,4,-34.638179851346,-58.398006448361
LC-2020-0500134,2020-08-30,20,GRAVE,M,50,BICICLETA,AUTOMOVIL,GAONA AV. 3751,AVENIDA,11,-34.621996224030,-58.477471769967
LC-2020-0500083,2020-08-30,17,LEVE - SIN LESIONES,M,26,MOTO,OTRO,SD,SD,SD,SD,SD
LC-2020-0500263,2020-08-31,20,LEVE - SIN LESIONES,M,17,MOTO,AUTOMOVIL,"SAN MARTIN AV. y CITTADINI, BASILIO",AVENIDA,15,-34.599276017670,-58.479746946826
LC-2020-0500516,2020-08-31,8,LEVE - SIN LESIONES,M,44,MOTO,AUTOMOVIL,"RUCCI, JOSE IGNACIO y SANTANDER",CALLE,8,-34.672529220657,-58.485333220672
LC-2020-0500741,2020-08-31,10,LEVE - SIN LESIONES,F,70,TRANSPORTE PUBLICO,TRANSPORTE PUBLICO,"DELLEPIANE, LUIS, TTE. GRAL. 2928",AVENIDA,7,-34.643003962600,-58.460865738837
LC-2020-0500977,2020-08-31,17,LEVE - SIN LESIONES,M,54,TRANSPORTE PUBLICO,TRANSPORTE PUBLICO,DEL LIBERTADOR AV. y PUEYRREDON AV.,AVENIDA,2,-34.584756384741,-58.391722021172
LC-2020-0501081,2020-08-31,14,LEVE - SIN LESIONES,M,22,PEATON,SD,"CASTRO, EMILIO AV. y COSQUIN",AVENIDA,9,-34.652762037772,-58.517143590713
LC-2020-0501114,2020-08-31,14,LEVE - SIN LESIONES,M,43,PEATON,MOTO,NAZCA AV. 357,AVENIDA,7,-34.627794219239,-58.470707005388
LC-2020-0501146,2020-08-31,14,LEVE - SIN LESIONES,M,44,MOTO,AUTOMOVIL,"EMPEDRADO y GUTIERREZ, RICARDO",CALLE,11,-34.600794260948,-58.481848960373
LC-2020-0501576,2020-08-31,18,LEVE - SIN LESIONES,F,49,PEATON,AUTOMOVIL,"MELIAN AV. y SUCRE, ANTONIO JOSE DE, MCAL.",AVENIDA,13,-34.570293477649,-58.465838195729
LC-2020-0501593,2020-08-31,20,GRAVE,M,27,PEATON,MOTO,PARAGUAY y THAMES,CALLE,14,-34.583945209039,-58.425179696658
LC-2020-0501537,2020-08-31,15,LEVE - SIN LESIONES,F,16,MOTO,AUTOMOVIL,CIUDAD DE LA PAZ 677,SD,SD,SD,SD
LC-2020-0501754,2020-09-01,23,LEVE - SIN LESIONES,F,45,MOTO,AUTOMOVIL,SALTA y SAN JUAN AV.,AVENIDA,1,-34.622242609521,-58.382964703762
LC-2020-0502022,2020-09-01,10,LEVE - SIN LESIONES,M,61,TRANSPORTE PUBLICO,TRANSPORTE PUBLICO,MONTEVIDEO y CORRIENTES AV.,AVENIDA,1,-34.604218058920,-58.389395118444
LC-2020-0502066,2020-09-01,10,LEVE - SIN LESIONES,M,46,AUTOMOVIL,AUTOMOVIL,"LOPEZ, CARLOS ANTONIO 3600",CALLE,11,-34.591281513339,-58.512104048666
LC-2020-0502186,2020-09-01,8,LEVE - SIN LESIONES,M,49,AUTOMOVIL,AUTOMOVIL,"CORRIENTES AV. y ANCHORENA, TOMAS MANUEL DE, DR.",AVENIDA,3,-34.604029511198,-58.410347062735
LC-2020-0502186,2020-09-01,8,LEVE - SIN LESIONES,M,26,AUTOMOVIL,AUTOMOVIL,"CORRIENTES AV. y ANCHORENA, TOMAS MANUEL DE, DR.",AVENIDA,3,-34.604029511198,-58.410347062735
LC-2020-0502358,2020-09-01,12,LEVE - SIN LESIONES,M,34,PEATON,MOTO,"CORRIENTES AV. y ACUÃ‘A DE FIGUEROA, FRANCISCO",AVENIDA,5,-34.603015171173,-58.422560507948
LC-2020-0502519,2020-09-01,13,LEVE - SIN LESIONES,M,36,MOTO,SD,"CARRILLO, RAMON, DR. 256",CALLE,4,-34.634597323200,-58.382180778022
LC-2020-0502789,2020-09-01,16,LEVE - SIN LESIONES,M,39,AUTOMOVIL,AUTOMOVIL,REMEDIOS y OLIDEN,CALLE,9,-34.658880732052,-58.496940389553
LC-2020-0502814,2020-09-01,17,GRAVE,M,38,MOTO,SD,MONTIEL 5239,CALLE,8,-34.689441934091,-58.476528019955
LC-2020-0502930,2020-09-01,16,LEVE - SIN LESIONES,F,34,PEATON,MOTO,MORENO y JUJUY AV.,AVENIDA,3,-34.613423323481,-58.405279458288
LC-2020-0503021,2020-09-01,10,LEVE - SIN LESIONES,M,38,MOTO,AUTOMOVIL,LA PLATA AV. y DIRECTORIO AV.,AVENIDA,6,-34.626997305138,-58.426757543126
LC-2020-0503164,2020-09-02,0,LEVE - SIN LESIONES,M,21,MOTO,MOTO,CORDOBA AV. y FITZ ROY,AVENIDA,15,-34.587600934930,-58.440157973535
LC-2020-0503552,2020-09-02,11,LEVE - SIN LESIONES,M,37,MOTO,SD,"ALBERDI, JUAN BAUTISTA AV. 3541",AVENIDA,10,-34.635675847107,-58.475909319008
LC-2020-0503604,2020-09-02,12,LEVE - SIN LESIONES,M,21,MOTO,AUTOMOVIL,"CASTRO, EMILIO AV. y PIERES",AVENIDA,9,-34.648352087810,-58.507673964871
LC-2020-0503794,2020-09-02,13,LEVE - SIN LESIONES,M,24,MOTO,SD,LA PLATA AV. y ZUVIRIA,AVENIDA,7,-34.628315116596,-58.426457509825
LC-2020-0503907,2020-09-02,10,LEVE - SIN LESIONES,M,64,SD,SD,"MURGUIONDO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",AVENIDA,8,-34.682064057547,-58.469114807828
LC-2020-0503907,2020-09-02,10,LEVE - SIN LESIONES,M,32,SD,SD,"MURGUIONDO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",AVENIDA,8,-34.682064057547,-58.469114807828
LC-2020-0503914,2020-09-02,16,LEVE - SIN LESIONES,M,32,MOTO,AUTOMOVIL,LASCANO y TERRADA,CALLE,11,-34.606252596413,-58.483951174102
LC-2020-0503943,2020-09-02,15,LEVE - SIN LESIONES,M,38,AUTOMOVIL,TRANSPORTE PUBLICO,VIEYTES y LUJAN,CALLE,4,-34.655591336414,-58.374609129393
LC-2020-0503960,2020-09-02,0,LEVE - SIN LESIONES,M,39,MOTO,SD,CORDOBA AV. y AZCUENAGA,AVENIDA,2,-34.599483938502,-58.401072420614
LC-2020-0504002,2020-09-02,15,LEVE - SIN LESIONES,F,32,AUTOMOVIL,TRANSPORTE PUBLICO,CALIFORNIA 1850,CALLE,4,-34.647288229088,-58.374732180149
LC-2020-0504002,2020-09-02,15,LEVE - SIN LESIONES,F,34,AUTOMOVIL,TRANSPORTE PUBLICO,CALIFORNIA 1850,CALLE,4,-34.647288229088,-58.374732180149
LC-2020-0504125,2020-09-02,20,LEVE - SIN LESIONES,M,43,MOTO,AUTOMOVIL,LAVALLE y PARANA,CALLE,1,-34.602909694016,-58.387954730069
LC-2020-0504140,2020-09-02,19,LEVE - SIN LESIONES,M,22,PEATON,TRANSPORTE PUBLICO,"ALEM, LEANDRO N. AV. y LAVALLE",AVENIDA,1,-34.601894929250,-58.370488001353
LC-2020-0504174,2020-09-02,19,LEVE - SIN LESIONES,M,34,PEATON,AUTOMOVIL,DIAZ VELEZ AV. 3700,AVENIDA,5,-34.608717611218,-58.418751992488
LC-2020-0504199,2020-09-02,20,LEVE - SIN LESIONES,M,42,PEATON,AUTOMOVIL,COBO AV. y CURAPALIGUE,AVENIDA,7,-34.643577043800,-58.441476213445
LC-2020-0503386,2020-09-02,9,LEVE - SIN LESIONES,M,63,AUTOMOVIL,AUTOMOVIL,"AMENABAR y RIVERA, PEDRO I., DR.",SD,SD,SD,SD
LC-2020-0504354,2020-09-03,2,LEVE - SIN LESIONES,F,27,AUTOMOVIL,SD,CASTRO BARROS AV. y BELGRANO,AVENIDA,5,-34.615842736259,-58.420082293275
LC-2020-0504585,2020-09-03,10,LEVE - SIN LESIONES,M,26,MOTO,AUTOMOVIL,"ALVAREZ PRADO, MANUEL 2460",CALLE,12,-34.572009353002,-58.508462746090
LC-2020-0505171,2020-09-03,16,LEVE - SIN LESIONES,M,34,MOTO,AUTOMOVIL,SAN JOSE y HUMBERTO 1Â°,CALLE,1,-34.621154881605,-58.385844025561
LC-2020-0505254,2020-09-03,14,LEVE - SIN LESIONES,M,37,MOTO,AUTOMOVIL,CORRIENTES AV. y RIOBAMBA,AVENIDA,3,-34.604461882812,-58.393860835867
LC-2020-0505325,2020-09-03,17,LEVE - SIN LESIONES,M,23,MOTO,AUTOMOVIL,"PAZ, GRAL. AV. y DE LOS CONSTITUYENTES AV.",GRAL PAZ,12,-34.56919739421,-58.509930461176
LC-2020-0505341,2020-09-03,15,LEVE - SIN LESIONES,M,22,PEATON,MOTO,"JUSTO, JUAN B. AV. y ESTADO PLURINACIONAL DE BOLIVIA",AVENIDA,11,-34.615107384012,-58.473080209845
LC-2020-0505466,2020-09-03,18,LEVE - SIN LESIONES,F,27,PEATON,AUTOMOVIL,9 DE JULIO AV. y BELGRANO AV.,AVENIDA,1,-34.613100568506,-58.381353762551
LC-2020-0505542,2020-09-03,19,LEVE - SIN LESIONES,M,37,MOTO,AUTOMOVIL,"FOREST AV. y LACROZE, FEDERICO AV.",AVENIDA,15,-34.585181672709,-58.453965732432
LC-2020-0505615,2020-09-03,21,LEVE - SIN LESIONES,M,28,SD,SD,DEL CAMPO AV. y PAZ SOLDAN,AVENIDA,15,-34.592069927596,-58.465231477374
LC-2020-0505116,2020-09-03,13,LEVE - SIN LESIONES,M,83,TRANSPORTE PUBLICO,TRANSPORTE PUBLICO,SD,SD,SD,SD,SD
LC-2020-0505654,2020-09-04,23,LEVE - SIN LESIONES,F,26,MOTO,AUTOMOVIL,ENTRE RIOS AV. y MORENO,AVENIDA,3,-34.612662120884,-58.391760087818
LC-2020-0505683,2020-09-04,23,LEVE - SIN LESIONES,M,42,MOTO,AUTOMOVIL,"MEDRANO AV. y PERON, JUAN DOMINGO, TTE. GENERAL",AVENIDA,5,-34.606010139144,-58.421297580287
LC-2020-0505938,2020-09-04,9,LEVE - SIN LESIONES,F,29,MOTO,AUTOMOVIL,DEL LIBERTADOR AV. 3302,AVENIDA,14,-34.575704670020,-58.413819650126
LC-2020-0506015,2020-09-04,9,LEVE - SIN LESIONES,M,76,PEATON,AUTOMOVIL,CONDARCO 1347,CALLE,11,-34.616524032840,-58.473453736137
LC-2020-0506269,2020-09-04,12,GRAVE,M,40,BICICLETA,SD,PARIS 480,CALLE,10,-34.633094383951,-58.521671062786
LC-2020-0506327,2020-09-04,12,LEVE - SIN LESIONES,M,30,SD,AUTOMOVIL,ESTADOS UNIDOS y SAAVEDRA,CALLE,3,-34.619785957673,-58.402145764192
LC-2020-0506495,2020-09-04,14,LEVE - SIN LESIONES,M,37,MOTO,AUTOMOVIL,"ALBERDI, JUAN BAUTISTA AV. y BERTRES",AVENIDA,6,-34.623128383563,-58.438504236606
LC-2020-0506569,2020-09-04,12,LEVE - SIN LESIONES,M,38,MOTO,AUTOMOVIL,"NEWBERY, JORGE AV. y CORRIENTES AV.",AVENIDA,15,-34.588690532901,-58.450768435285
LC-2020-0506628,2020-09-04,14,LEVE - SIN LESIONES,M,56,MOTO,AUTOMOVIL,"ANTARTIDA ARGENTINA AV. y PY, COMODORO AV.",AVENIDA,1,-34.590706873926,-58.370802489539
LC-2020-0506684,2020-09-04,16,LEVE - SIN LESIONES,M,38,AUTOMOVIL,TRANSPORTE PUBLICO,ASTURIAS AV. y SANTIAGO DE COMPOSTELA AV.,AVENIDA,9,-34.657415493907,-58.467756585222
LC-2020-0506814,2020-09-04,17,LEVE - SIN LESIONES,F,42,SD,SD,"BONORINO, ESTEBAN, CNEL. AV. y SARAZA",AVENIDA,7,-34.643690596103,-58.447089263459
LC-2020-0506832,2020-09-04,16,LEVE - SIN LESIONES,F,57,PEATON,SD,"HERNANDEZ, JOSE 1955",CALLE,13,-34.563221800613,-58.449434866643
LC-2020-0506992,2020-09-04,19,LEVE - SIN LESIONES,M,21,MOTO,TRANSPORTE PUBLICO,SARMIENTO y GALLO,CALLE,5,-34.606116070081,-58.413647303942
LC-2020-0507014,2020-09-04,13,LEVE - SIN LESIONES,M,52,MOTO,AUTOMOVIL,"PAZ, GRAL. AV. y EZEIZA",GRAL PAZ,12,-34.577865552117,-58.512714095401
LC-2020-0507015,2020-09-04,21,LEVE - SIN LESIONES,M,60,AUTOMOVIL,AUTOMOVIL,CARABOBO AV. y DIRECTORIO AV.,AVENIDA,7,-34.631499402264,-58.454378608686
LC-2020-0505867,2020-09-04,8,GRAVE,M,43,MOTO,OTRO,SD,SD,SD,SD,SD
LC-2020-0507143,2020-09-05,0,LEVE - SIN LESIONES,M,48,MOTO,AUTOMOVIL,"GARAY, JUAN DE AV. y PICHINCHA",AVENIDA,3,-34.628090615417,-58.396833699448
LC-2020-0507151,2020-09-05,0,LEVE - SIN LESIONES,M,32,SD,SD,"BELGRANO AV. e IRIGOYEN, BERNARDO DE",AVENIDA,1,-34.613038937486,-58.380485777658
LC-2020-0507163,2020-09-05,0,LEVE - SIN LESIONES,M,25,MOTO,AUTOMOVIL,"BELGRANO AV. e IRIGOYEN, BERNARDO DE",AVENIDA,1,-34.613038937486,-58.380485777658
LC-2020-0507179,2020-09-05,0,LEVE - SIN LESIONES,M,32,MOTO,AUTOMOVIL,"CARRIL, SALVADOR MARIA DEL AV. y DESAGUADERO",AVENIDA,11,-34.605349354784,-58.522022857495
LC-2020-0507260,2020-09-05,2,LEVE - SIN LESIONES,M,36,MOTO,AUTOMOVIL,"VEGA, NICETO, CNEL. y SERRANO",CALLE,14,-34.590841291409,-58.433434656852
LC-2020-0507319,2020-09-05,0,LEVE - SIN LESIONES,M,28,MOTO,AUTOMOVIL,"MADERO, EDUARDO AV. 1150",AVENIDA,1,-34.594823688579,-58.371166199038
LC-2020-0507335,2020-09-05,8,GRAVE,M,42,MOTO,AUTOMOVIL,DEL LIBERTADOR AV. y DORREGO AV.,AVENIDA,14,-34.570822981848,-58.424077262795
LC-2020-0507565,2020-09-05,13,LEVE - SIN LESIONES,M,33,MOTO,SD,LA PLATA AV. 1600,AVENIDA,5,-34.633621776346,-58.424982010878
LC-2020-0507575,2020-09-05,13,LEVE - SIN LESIONES,M,76,MOTO,AUTOMOVIL,"JUSTO, JUAN B. AV. y SANTA FE AV.",AVENIDA,14,-34.578167911210,-58.426533288920
LC-2020-0507596,2020-09-05,10,LEVE - SIN LESIONES,M,24,MOTO,AUTOMOVIL,"SAN MARTIN AV. y MISTRAL, GABRIELA",AVENIDA,11,-34.592173697518,-58.509660585279
LC-2020-0507603,2020-09-05,12,LEVE - SIN LESIONES,F,47,PEATON,AUTOMOVIL,AGUIRRE 601,CALLE,15,-34.596713601676,-58.436261455466
LC-2020-0507663,2020-09-05,14,LEVE - SIN LESIONES,F,22,AUTOMOVIL,AUTOMOVIL,"POMAR, GREGORIO TTE. CNEL. y RAULET",CALLE,4,-34.640509508222,-58.416711700150
LC-2020-0507667,2020-09-05,15,LEVE - SIN LESIONES,M,27,MOTO,AUTOMOVIL,TRIUNVIRATO AV. y OLAZABAL AV.,AVENIDA,12,-34.575580537205,-58.484291808147
LC-2020-0507947,2020-09-05,20,LEVE - SIN LESIONES,M,19,MOTO,AUTOMOVIL,FONROUGE y REMEDIOS,CALLE,9,-34.656286815043,-58.493836485614
LC-2020-0507969,2020-09-05,19,LEVE - SIN LESIONES,M,23,AUTOMOVIL,SD,"ARAUJO y ALBERDI, JUAN BAUTISTA AV.",CALLE,9,-34.647034708862,-58.497545812753
LC-2020-0507988,2020-09-05,23,LEVE - SIN LESIONES,M,21,MOTO,AUTOMOVIL,LIMA y DE MAYO AV.,AVENIDA,1,-34.609088246224,-58.381944215831
LC-2020-0508036,2020-09-06,0,LEVE - SIN LESIONES,M,26,MOTO,AUTOMOVIL,"VICTORICA, BENJAMIN, GENERAL, AV. y BERLIN",AVENIDA,15,-34.583283340079,-58.479305625930
LC-2020-0508229,2020-09-06,8,LEVE - SIN LESIONES,M,16,AUTOMOVIL,AUTOMOVIL,HUMBERTO 1Â° y MATHEU,CALLE,3,-34.622081007371,-58.399575430274
